taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,market_value,assessment_level,assessed_value,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_market_value,log_assessed_value,log_outstanding_balance
Company,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Tagbitan-ag,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,337,5023672.95,0.5,2511836.48,0.0131,32905.06,2023,12,8,3,1,45.7,27169.55,44.64,1,,,15.429672086536913,14.736525107025027,10.209888945130489
Company,City of Davao,Davao Del Sur,Davao Occidental,Jose Abad Santos,Tabayon,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,204,2231969.59,0.5,1115984.79,0.0163,18190.55,2022,5,4,1,0,11.9,2957.06,86.32,0,6.0,2.0,14.61839542587323,13.925248688867418,7.992288927040687
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mabuhay,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10D,40,498522.81,0.25,124630.7,0.0146,1819.61,2024,20,8,1,1,32.5,1107.7,67.33,0,3.0,1.0,13.11940663053327,11.733118267102904,7.010943436778306
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,CITY OF DAVAO,Gatungan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,157,2666282.2,0.5,1333141.1,0.0151,20130.43,2023,13,8,1,1,31.1,9045.21,70.73,0,9.0,3.0,14.796196000635788,14.103049195129707,9.110101164448853
Individual,Jose Abad Santos,Davao Occidental,Davao Oriental,Caraga,Palma Gil,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3315,2497792.04,0.4,999116.82,0.0133,13288.25,2022,2,3,1,1,63.5,8335.8,28.42,1,9.0,3.0,14.730918115955161,13.814627988614497,9.028434728678217
Individual,Maragusan,Davao De Oro,Davao Del Sur,CITY OF DAVAO,Talomo River,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1373,19185474.14,0.5,9592737.07,0.0173,165954.35,2024,5,6,3,1,56.5,112358.79,33.63,1,12.0,4.0,16.769664047580125,16.076516919142943,11.62946141222391
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Vicente Duterte,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1069,11192538.13,0.5,5596269.07,0.0155,86742.17,2023,17,8,3,1,60.2,54508.06,33.8,1,12.0,4.0,16.230757965182278,15.537610874861013,10.906122205367351
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Gov. Paciano Bangoy,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,383,2564284.32,0.4,1025713.73,0.0137,14052.28,2023,9,8,2,1,46.4,9110.68,48.15,0,3.0,1.0,14.75719037008279,13.840900225116632,9.117312385985326
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Alfonso Angliongto Sr.,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,453,6889856.94,0.5,3444928.47,0.0185,63731.18,2024,15,8,3,1,47.2,43744.47,31.82,1,6.0,2.0,15.74556102448991,15.052413989070827,10.686143343567686
Company,Island Garden City of Samal,Davao Del Norte,Davao Del Norte,Kapalong,Capungagan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,207,1471886.79,0.45,662349.06,0.0147,9736.53,2023,6,7,2,1,47.6,6003.5,50.31,0,6.0,2.0,14.202056345745769,13.403549486698951,8.700264467100737
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Buhangin (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,889,1860845.26,0.2,372169.05,0.0109,4056.64,2021,1,1,0,0,0.0,607.92,80.37,0,3.0,1.0,14.436541920712676,12.827106152462008,6.411686896191053
Company,City of Digos,Davao Del Sur,Davao Del Sur,City of Digos,Ruparan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,618,7665663.93,0.5,3832831.96,0.0161,61708.59,2021,9,8,2,1,48.8,41464.44,49.54,0,12.0,4.0,15.852261815384034,15.15911476397139,10.632615588187981
Individual,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Oregon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,75,584258.74,0.2,116851.75,0.0122,1425.59,2024,13,8,1,1,29.6,819.71,78.74,0,12.0,4.0,13.278100923207802,11.668669874135944,6.710169819281794
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,San Agustin,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,112,867329.32,0.2,173465.86,0.0116,2012.2,2022,16,8,3,2,87.3,2054.97,5.0,1,9.0,3.0,13.673175175129867,12.063741851479044,7.628503035028911
Individual,Malalag,Davao Del Sur,Davao Del Sur,City of Davao,Pangyan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1500,2691676.18,0.4,1076670.47,0.0124,13350.71,2022,3,2,2,0,49.9,3017.02,44.99,1,9.0,3.0,14.80567504427961,13.889384867821088,8.012356266211071
Individual,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Don Mariano Marcos,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1719,2789255.69,0.4,1115702.28,0.0131,14615.7,2024,4,5,2,1,52.6,9817.9,40.54,1,3.0,1.0,14.841285698946768,13.924995508435334,9.19206437878094
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Asuncion,New Santiago,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,105,543696.83,0.2,108739.37,0.0144,1565.85,2024,17,8,3,1,43.2,1095.5,39.65,0,3.0,1.0,13.206148911954445,11.596718393305856,6.999878567857943
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Liboganon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14D,100,1194597.48,0.25,298649.37,0.0132,3942.17,2024,21,8,3,1,55.8,3267.48,48.84,0,6.0,2.0,13.9933206868871,12.607028837068105,8.092080324019225
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Calinan (Pob.),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,567,2516693.02,0.2,503338.6,0.0126,6342.07,2022,13,8,3,1,47.4,4681.01,29.17,1,3.0,1.0,14.738456701372204,13.129020370376619,8.45148278388796
Company,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Calinan (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,113,2146486.87,0.5,1073243.44,0.0167,17923.17,2021,11,8,1,0,14.1,5516.5,82.4,0,12.0,4.0,14.57934351557092,13.88619680554695,8.615680138130891
Individual,Jose Abad Santos,Davao Occidental,Davao Del Sur,City of Davao,Indangan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,304,1714627.45,0.4,685850.98,0.0127,8710.31,2024,18,8,2,1,53.0,4488.56,47.98,0,,,14.354706967880455,13.438417110831015,8.409509980388766
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 8-A (Pob.),Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1733,20296930.97,0.5,10148465.48,0.0145,147152.75,2023,19,8,3,1,42.8,96058.65,43.18,1,12.0,4.0,16.82598029810729,16.132833166323188,11.472724631656067
Individual,Matanao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Mambago-A,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3966,7925474.6,0.4,3170189.84,0.0114,36140.16,2021,4,3,1,1,41.7,18067.85,58.53,0,12.0,4.0,15.88559288854523,14.969302345934146,9.801944740166498
Individual,City of Davao,Davao Del Sur,Davao De Oro,Mabini,Cuambog (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4629,9959059.52,0.4,3983623.81,0.0105,41828.05,2022,12,8,3,1,56.0,33657.09,31.88,1,9.0,3.0,16.113993299810666,15.19770271905517,10.424008722225116
Company,Malita,Davao Occidental,Davao Del Sur,City of Davao,Toril (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,239,2111789.23,0.2,422357.85,0.0131,5532.89,2024,9,8,2,1,52.5,3572.48,40.28,0,12.0,4.0,14.563046595958776,12.953610587121025,8.18129518989049
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tigatto,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,677,2431269.7,0.2,486253.94,0.0111,5397.42,2021,3,2,1,0,10.1,1068.89,73.3,0,6.0,2.0,14.703924600451465,13.09448833324622,6.975311118432968
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,Magsaysay,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,213,827008.43,0.2,165401.69,0.0137,2266.0,2023,16,8,1,1,28.4,974.23,70.06,0,9.0,3.0,13.625571376601036,12.016138325042863,6.8826733406143195
Company,City of Tagum,Davao Del Norte,Davao Del Sur,City of Davao,Centro (San Juan),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,247,3773200.37,0.45,1697940.17,0.017,28864.98,2021,7,6,3,2,71.2,26311.99,5.0,1,6.0,2.0,15.143434368844805,14.344926998610111,10.177818012579134
Individual,Santo Tomas,Davao Del Norte,Davao Oriental,Lupon,Tagugpo,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3148,5648341.63,0.4,2259336.65,0.0133,30049.18,2022,12,8,1,0,23.6,8175.11,78.13,0,12.0,4.0,15.546872720267073,14.630582253072294,9.008971766364724
Individual,Don Marcelino,Davao Occidental,Davao Del Norte,City of Panabo,San Pedro,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4902,5056637.0,0.4,2022654.8,0.01,20226.55,2024,7,6,2,1,38.7,13183.35,47.39,0,9.0,3.0,15.436212393556819,14.519921958322403,9.486785799126976
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Luban,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,384,6091702.4,0.5,3045851.2,0.016,48733.62,2022,11,8,3,2,77.8,47238.17,7.15,1,3.0,1.0,15.622438305009585,14.929291288607322,10.762978700300893
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bantol,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,128,1242002.4,0.2,248400.48,0.0133,3303.73,2023,7,7,2,1,34.0,1963.23,34.98,0,12.0,4.0,14.032236278991943,12.422801587155757,7.582855590000785
Company,Kapalong,Davao Del Norte,Davao Del Sur,City of Davao,Sasa,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,1016,9054298.09,0.4,3621719.24,0.0133,48168.87,2021,16,8,5,2,97.0,57984.88,5.0,1,3.0,1.0,16.018750240450544,15.10245967534798,10.967954811614353
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mahayag,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,331,3884010.17,0.45,1747804.58,0.0139,24294.48,2024,5,4,1,1,41.7,12474.44,61.99,0,,,15.17237898429035,14.373871604755449,9.43151719053881
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 31-D (Pob.),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,226,4737864.23,0.45,2132038.9,0.0151,32193.79,2021,1,2,1,1,52.5,15907.63,41.63,1,9.0,3.0,15.37109721880497,14.572589778914516,9.674617008259029
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Dominga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,254,1718568.82,0.2,343713.76,0.011,3780.85,2022,3,2,1,1,42.3,2366.37,50.5,1,9.0,3.0,14.35700300290176,12.74756740634412,7.769534913309738
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Matina Pangi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,310,2336130.69,0.2,467226.14,0.0129,6027.22,2022,6,7,2,1,48.8,4044.19,34.64,1,12.0,4.0,14.664006995485128,13.054570799562377,8.305283799959302
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Guihing Aplaya,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,567,1326850.13,0.2,265370.03,0.0128,3396.74,2021,11,8,3,1,53.2,2457.27,28.59,1,9.0,3.0,14.098319121640536,12.48888423893134,7.807213129496182
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Paradise Embak,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3170,4801485.87,0.4,1920594.35,0.011,21126.54,2023,11,8,3,1,49.2,13486.94,35.56,1,3.0,1.0,15.38443619249431,14.468145774064679,9.509551231833166
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Baguio (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,193,1956673.21,0.2,391334.64,0.0136,5322.15,2021,5,4,1,0,18.7,1563.18,88.25,0,6.0,2.0,14.486756758324649,12.877320885062892,7.355117003997033
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dacudao,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,216,1323671.42,0.2,264734.28,0.0113,2991.5,2023,9,8,4,2,81.4,3558.47,5.0,1,3.0,1.0,14.095920567948045,12.486485662295651,8.17736693635839
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Carmen,Anibongan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,155,1026682.01,0.2,205336.4,0.0144,2956.84,2021,13,8,4,2,78.4,2962.8,7.76,1,6.0,2.0,13.841843784986112,12.232409758846233,7.9942275077560785
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Colosas,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,196,1533550.9,0.2,306710.18,0.0114,3496.5,2022,6,5,1,1,29.3,1625.57,42.59,0,12.0,4.0,14.243097106111119,12.63366180199747,7.394228782183767
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Tagbinonga,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4819,5663048.73,0.4,2265219.49,0.0119,26956.11,2021,7,7,1,0,20.6,8495.39,85.54,0,3.0,1.0,15.549473126621926,14.633182658739766,9.047396646382968
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dumoy,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,274,1335905.23,0.2,267181.05,0.0112,2992.43,2021,14,8,1,1,30.5,1364.93,72.91,0,12.0,4.0,14.105120443489747,12.495685540244363,7.219590794308174
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Datu Salumay,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1600,12548992.1,0.5,6274496.05,0.0146,91607.64,2023,15,8,1,1,25.9,56206.79,68.37,0,12.0,4.0,16.345150989247685,15.652003888375404,10.936810638375658
Individual,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 7-A (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,90,448438.82,0.2,89687.76,0.0106,950.69,2021,16,8,1,1,30.1,454.33,72.47,0,6.0,2.0,13.013529770875959,11.404100733617883,6.121022430791613
Company,City of Davao,Davao Del Sur,Davao Oriental,City of Mati,Dawan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,128,1597530.3,0.5,798765.15,0.0154,12300.98,2023,8,7,1,1,44.7,7244.21,58.56,0,6.0,2.0,14.283970058156125,13.59082350356181,8.888095839841958
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Balengaeng,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,378,1237711.34,0.2,247542.27,0.011,2722.96,2022,19,8,1,1,26.2,1726.94,73.76,0,9.0,3.0,14.028775346584254,12.419340673993027,7.454685226538948
Company,City of Mati,Davao Oriental,Davao Del Sur,Kiblawan,Bagumbayan,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1943,22452203.24,0.5,11226101.62,0.0166,186353.29,2024,16,8,3,1,54.9,141049.31,28.69,1,6.0,2.0,16.926899351742563,16.233752215721672,11.856871914229925
Company,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Langgawisan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3382,3894771.8,0.4,1557908.72,0.0111,17292.79,2022,11,8,2,0,15.7,7566.52,72.12,0,9.0,3.0,15.175145904391817,14.258855557649168,8.931620683773122
Individual,Sarangani,Davao Occidental,Davao Oriental,Caraga,Alvar,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,178,3563235.89,0.5,1781617.95,0.0148,26367.95,2024,9,8,1,1,32.2,16525.89,63.82,0,3.0,1.0,15.086179928485082,14.39303303137524,9.712744030343279
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Padada,N C Ordaneza District (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,270,1837777.91,0.2,367555.58,0.0138,5072.27,2022,19,8,1,0,13.3,1496.93,91.67,0,9.0,3.0,14.424068286305635,12.814632544968203,7.31183943401337
Company,City of Davao,Davao Del Sur,Davao Del Sur,Padada,Piape,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,290,1901214.35,0.2,380242.87,0.0129,4905.13,2021,10,8,5,1,89.3,4096.73,5.0,1,6.0,2.0,14.458003897537495,12.848568089018551,8.31818844083033
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Mudiang,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,130,1265267.33,0.2,253053.47,0.0126,3188.47,2024,5,4,1,1,39.8,2040.52,53.65,0,6.0,2.0,14.050794776226867,12.441360040979392,7.621449907429742
Individual,Santa Maria,Davao Occidental,Davao Del Norte,City of Tagum,San Isidro,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 12B,83,1330299.18,0.25,332574.79,0.0151,5021.88,2021,15,8,1,0,21.0,746.43,95.41,0,,,14.100915173979812,12.71462305295333,6.616640655394879
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bato,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,177,1077884.66,0.2,215576.93,0.0127,2737.83,2021,10,8,1,1,29.4,1512.93,68.98,0,9.0,3.0,13.890511958035248,12.281077747285623,7.322464197789812
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Tagum,Pagsabangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,225,1539879.09,0.2,307975.82,0.0112,3449.33,2023,17,8,2,1,39.3,2144.75,55.46,0,12.0,4.0,14.247215107721917,12.637779799383296,7.671244420598329
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Padada,Tulogan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,117,973449.29,0.45,438052.18,0.0144,6307.95,2023,12,8,1,1,33.9,2797.51,66.97,0,9.0,3.0,13.78860203931651,12.99009559751343,7.936842411667892
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Limao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,530,7246480.1,0.5,3623240.05,0.0174,63044.38,2024,5,5,2,1,40.6,44436.1,60.01,1,3.0,1.0,15.796026543485645,15.102879500923704,10.701829985098614
Company,Hagonoy,Davao Del Sur,Davao Del Norte,City of Panabo,  San Vicente ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,968,2279587.85,0.4,911835.14,0.0127,11580.31,2022,3,2,1,1,51.0,7373.76,40.0,1,6.0,2.0,14.639505655722036,13.72321558186106,8.905818638305625
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lumiad,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1757,3556804.09,0.4,1422721.64,0.0109,15507.67,2024,8,8,3,1,46.1,10838.0,30.25,1,12.0,4.0,15.084373253252673,14.168082945916732,9.29090601981575
Individual,City of Davao,Davao Del Sur,Davao Occidental,Don Marcelino,Baluntaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,260,1744642.44,0.2,348928.49,0.0144,5024.57,2023,6,6,3,2,78.8,4869.66,5.0,1,6.0,2.0,14.372060760361736,12.762625146388915,8.490984730508103
Company,City of Mati,Davao Oriental,Davao Del Norte,City of Panabo,Nanyo,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,571,13164974.72,0.5,6582487.36,0.0168,110585.79,2022,19,8,2,1,42.0,73578.82,64.97,0,3.0,1.0,16.39307050662676,15.699923402025934,11.206126082338839
Individual,Maco,Davao De Oro,Davao Del Sur,City of Davao,Tagakpan,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,546,1197447.7,0.2,239489.54,0.0112,2682.28,2024,11,8,3,1,42.1,1838.05,36.39,1,3.0,1.0,13.995703768101146,12.386269196096844,7.51700441292422
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Lizada,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3039,7821924.98,0.4,3128769.99,0.0128,40048.26,2021,18,8,3,1,62.3,28580.33,50.13,0,9.0,3.0,15.872441371199894,14.956150830455119,10.260508986440279
Company,Padada,Davao Del Sur,Davao Del Sur,City of Davao,Malagos,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,268,1696706.12,0.2,339341.22,0.0114,3868.49,2023,6,5,1,1,39.9,1616.97,45.98,0,3.0,1.0,14.344199942403437,12.734764375686687,7.3889275560373955
Company,City of Davao,Davao Del Sur,Davao Del Norte,Carmen,Guadalupe,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,371,5412956.08,0.5,2706478.04,0.0133,35996.16,2021,8,8,2,0,14.0,7845.33,75.18,0,12.0,4.0,15.504306096688008,14.81115910086995,8.967801185533244
Individual,Caraga,Davao Oriental,Davao Oriental,Baganga,Mahanub,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,234,1628154.9,0.2,325630.98,0.0117,3809.88,2024,12,8,1,1,31.4,1795.86,72.81,0,12.0,4.0,14.302958582630529,12.693523126960603,7.493795976124785
